!!ObjTables ObjTablesVersion='0.0.8' Document='ecoli_wortel_2018' Date='2019-01-04' Type='Data' Id='Compartment'							
!ID	!Name	!Size	!Unit	!SBOTerm			
Cell	Cell	1					
external	external	1					
							
!!ObjTables ObjTablesVersion='0.0.8' Document='ecoli_wortel_2018' Date='2019-01-04' Type='Data' Id='Compound'							
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	
ACETATE	acetate	Cell	FALSE		0	FALSE	
ACETATE_ext	extracellular acetate	external	FALSE		0	FALSE	
ACETYL_CoA	acetyl-coenzyme A	Cell	FALSE		0	FALSE	
ACALD	acetaldehyde	Cell	FALSE		0	FALSE	
ACETYL_P	acetyl-phosphate	Cell	FALSE		0	FALSE	
ADP	adenosine diphosphate	Cell	FALSE		0	FALSE	
AKG	alpha-ketoglutarate	Cell	FALSE		0	FALSE	
ATP	adenosine triphosphate	Cell	FALSE		0	FALSE	
ATP_main	maintenance energy	external	FALSE		0	FALSE	
BIOMASS	biomass	external	FALSE		0	FALSE	
CITRATE	citrate	Cell	FALSE		0	FALSE	
CO2	carbon dioxyde	Cell	FALSE		0	FALSE	
CO2_ext	extracellular carbon dioxyde	external	FALSE		0	FALSE	
CoASH	coenzyme A	Cell	FALSE		0	FALSE	
DHAP	dihydroxyacetone phosphate	Cell	FALSE		0	FALSE	
ERYTH_4_P	erythrose-4-phosphate	Cell	FALSE		0	FALSE	
ETOH	ethanol	Cell	FALSE		0	FALSE	
ETOH_ext	extracellular ethanol	external	FALSE		0	FALSE	
FORMATE	formate	Cell	FALSE		0	FALSE	
FORMATE_ext	extracellular formate	external	FALSE		0	FALSE	
FRU_6_P	fructose-6-phosphate	Cell	FALSE		0	FALSE	
FRU_BIS_P	fructose bi-phosphate	Cell	FALSE		0	FALSE	
FUMARATE	fumarate	Cell	FALSE		0	FALSE	
DPG	"1,3-bisphospho-D-glycerate"	Cell	FALSE		0	FALSE	
PG3	3-phospho-D-glycerate	Cell	FALSE		0	FALSE	
GA_3P	glyceraldehyde-3-phosphate	Cell	FALSE		0	FALSE	
GLU_6_P	glucose-6-phosphate	Cell	FALSE		0	FALSE	
GLU_LAC_6_P	6-Phosphogluconolactonase	Cell	FALSE		0	FALSE	
GLUCO_6_P	6-phosphogluconate	Cell	FALSE		0	FALSE	
KDPG	2-keto-3-deoxy-6-phosphogluconate	Cell	FALSE		0	FALSE	
GLU_ext	extracellular glucose	external	FALSE		0	FALSE	
ISOCIT	isocitrate	Cell	FALSE		0	FALSE	
LACTATE	lactate	Cell	FALSE		0	FALSE	
LACTATE_ext	extracellular lactate	external	FALSE		0	FALSE	
MALATE	malate	Cell	FALSE		0	FALSE	
NAD	nicotinamide adenine dinucleotide	Cell	FALSE		0	FALSE	
NADH	nicotinamide adenine dinucleotide	Cell	FALSE		0	FALSE	
NH3	ammonium	Cell	FALSE		0	FALSE	
NH3_ext	extracellular ammonium	external	FALSE		0	FALSE	
OXALO	oxaloacetate	Cell	FALSE		0	FALSE	
OXY_ext	extracellular monooxygen	external	FALSE		0	FALSE	
PEP	phosphoenolpyruvate	Cell	FALSE		0	FALSE	
PG	phosphoglycerate	Cell	FALSE		0	FALSE	
PYR	pyruvate	Cell	FALSE		0	FALSE	
RIBOSE_5_P	ribose-5-phosphate	Cell	FALSE		0	FALSE	
RIBULOSE_5_P	ribulose-5-phosphate	Cell	FALSE		0	FALSE	
SED_7_P	sedoheptulose-7-phosphate	Cell	FALSE		0	FALSE	
SUCC	succinate	Cell	FALSE		0	FALSE	
SUCC_CoA	succinyl-coenzyme A	Cell	FALSE		0	FALSE	
SUCC_ext	extracellular succinate	external	FALSE		0	FALSE	
XYL_5_P	xylulose-5-phosphate	Cell	FALSE		0	FALSE	
							
!!ObjTables ObjTablesVersion='0.0.8' Document='ecoli_wortel_2018' Date='2019-01-04' Type='Data' Id='Reaction'							
!ID	!Name	!ReactionFormula	!Location	!Regulator	!KineticLaw	!SBOTerm	!IsReversible
R54ra	R54ra	ACETYL_CoA + NADH <=> ACALD + NAD + CoASH					TRUE
R54rb	R54rb	ACALD + NADH <=> ETOH + NAD					TRUE
R13r	R13r	RIBOSE_5_P + XYL_5_P <=> SED_7_P + GA_3P					TRUE
R26r	R26r	SUCC_CoA + ADP <=> SUCC + ATP + CoASH					TRUE
R15r	R15r	ERYTH_4_P + XYL_5_P <=> GA_3P + FRU_6_P					TRUE
R96	R96	FORMATE <=> FORMATE_ext					FALSE
R94	R94	LACTATE <=> LACTATE_ext					FALSE
R95	R95	SUCC <=> SUCC_ext					FALSE
R93	R93	NH3_ext <=> NH3					FALSE
R90	R90	ETOH <=> ETOH_ext					FALSE
R91	R91	ACETATE <=> ACETATE_ext					FALSE
R8r	R8r	PG <=> PEP					TRUE
R10a	R10a	GLU_6_P + NAD <=> GLU_LAC_6_P + NADH					FALSE
R10b	R10b	GLU_LAC_6_P <=> GLUCO_6_P					FALSE
R10c	R10c	GLUCO_6_P + NAD <=> RIBULOSE_5_P + NADH + CO2					FALSE
R28r	R28r	FUMARATE <=> MALATE					TRUE
R3	R3	FRU_6_P + ATP <=> FRU_BIS_P + ADP					FALSE
R70	R70	4.0 GLU_6_P + 13.0 RIBOSE_5_P + 5.0 ERYTH_4_P + 32.0 PEP + 38.0 PYR + 41.0 ACETYL_CoA + 14.0 AKG + 24.0 OXALO + 547.0 ATP + 178.0 NADH + 139.0 NH3 <=> BIOMASS + 41.0 CoASH + 547.0 ADP + 178.0 NAD + 2.0 CO2					FALSE
R6r	R6r	GA_3P <=> DHAP					TRUE
R97r	R97r	CO2 <=> CO2_ext					TRUE
R2r	R2r	GLU_6_P <=> FRU_6_P					TRUE
R55a	R55a	ACETYL_CoA <=> ACETYL_P + CoASH					FALSE
R55b	R55b	ACETYL_P + ADP <=> ACETATE + ATP					FALSE
R4	R4	FRU_BIS_P <=> FRU_6_P					FALSE
R12r	R12r	RIBULOSE_5_P <=> RIBOSE_5_P					TRUE
R1	R1	GLU_ext + PEP <=> GLU_6_P + PYR					FALSE
R27	R27	SUCC + ADP + OXY_ext <=> FUMARATE + ATP					FALSE
R27b	R27b	FUMARATE + NADH <=> SUCC + NAD					FALSE
R23r	R23r	CITRATE <=> ISOCIT					TRUE
R9	R9	PEP + ADP <=> PYR + ATP					FALSE
R14r	R14r	GA_3P + SED_7_P <=> ERYTH_4_P + FRU_6_P					TRUE
RR9	RR9	PYR + 2.0 ATP <=> PEP + 2.0 ADP					FALSE
R53r	R53r	PYR + NADH <=> LACTATE + NAD					TRUE
R80	R80	NADH + 2.0 ADP + OXY_ext <=> NAD + 2.0 ATP					FALSE
R82	R82	ATP <=> ADP + ATP_main					FALSE
R29r	R29r	MALATE + NAD <=> OXALO + NADH					TRUE
R7ra	R7ra	GA_3P + NAD <=> DPG + NADH					TRUE
R7rb	R7rb	DPG + ADP <=> PG3 + ATP					TRUE
R7rc	R7rc	PG3 <=> PG					TRUE
R41	R41	MALATE + NAD <=> PYR + NADH + CO2					FALSE
R40	R40	PEP + CO2 <=> OXALO					FALSE
R11r	R11r	RIBULOSE_5_P <=> XYL_5_P					TRUE
R42	R42	OXALO + ATP <=> PEP + ADP + CO2					FALSE
R5r	R5r	FRU_BIS_P <=> DHAP + GA_3P					TRUE
R25	R25	AKG + NAD + CoASH <=> NADH + SUCC_CoA + CO2					FALSE
R24	R24	ISOCIT + NAD <=> AKG + NADH + CO2					FALSE
R22	R22	OXALO + ACETYL_CoA <=> CITRATE + CoASH					FALSE
R21	R21	PYR + NAD + CoASH <=> ACETYL_CoA + CO2 + NADH					FALSE
R20	R20	PYR + CoASH <=> ACETYL_CoA + FORMATE					FALSE
R60	R60	GLUCO_6_P <=> KDPG					FALSE
R61r	R61r	KDPG <=> GA_3P + PYR					TRUE
