!!ObjTables objTablesVersion='0.0.8' schema='SBtab' document='E. coli central carbon metabolism - unbalanced kinetic data' type='Data' class='Reaction',,,,,,,,
!ID,!ReactionFormula,!Identifiers:kegg.reaction,!IsReversible,!Gene,!NameForPlots,,,
PTS_RPTSsy,D_Glucose + Phosphoenolpyruvate <=> Pyruvate + D_Glucose_6_phosphate,RPTSsy,TRUE,PTS,pts,,,
PGI_R02740,D_Glucose_6_phosphate <=> D_Fructose_6_phosphate,R02740,TRUE,PGI,pgi,,,
PFK_R04779,ATP + D_Fructose_6_phosphate <=> ADP + D_Fructose_1_6_bisphosphate,R04779,TRUE,PFK,pfk,,,
ALD_R01070,D_Fructose_1_6_bisphosphate <=> Glycerone_phosphate + D_Glyceraldehyde_3_phosphate,R01070,TRUE,FBA,fba,,,
TIM_R01015,Glycerone_phosphate <=> D_Glyceraldehyde_3_phosphate,R01015,TRUE,TPI,tpi,,,
GAP_R01061,Orthophosphate + NADplus + D_Glyceraldehyde_3_phosphate <=> NADH + _3_Phospho_D_glyceroyl_phosphate,R01061,TRUE,GAP,gap,,,
PGK_R01512,ADP + _3_Phospho_D_glyceroyl_phosphate <=> ATP + _3_Phospho_D_glycerate,R01512,TRUE,PGK,pgk,,,
PGM_R01518,_3_Phospho_D_glycerate <=> _2_Phospho_D_glycerate,R01518,TRUE,GPM,gpm,,,
PGH_R00658,_2_Phospho_D_glycerate <=> Phosphoenolpyruvate,R00658,TRUE,ENO,eno,,,
PYK_R00200,ADP + Phosphoenolpyruvate <=> Pyruvate + ATP,R00200,TRUE,PYK,pyk,,,
PDH_R00209,Pyruvate + NADplus + CoA <=> Acetyl_CoA + NADH + CO2,R00209,TRUE,PDH,pdh,,,
ZWF_R00835,NADPplus + D_Glucose_6_phosphate <=> NADPH + D_Glucono_1_5_lactone_6_phosphate,R00835,TRUE,ZWF,zwf,,,
GLH_R02035,D_Glucono_1_5_lactone_6_phosphate <=> _6_Phospho_D_gluconate,R02035,TRUE,PGL,pgl,,,
PGD_R01528,_6_Phospho_D_gluconate + NADPplus <=> NADPH + D_Ribulose_5_phosphate + CO2,R01528,TRUE,GND,gnd,,,
RPI_R01056,D_Ribulose_5_phosphate <=> D_Ribose_5_phosphate,R01056,TRUE,RPI,rpi,,,
RPE_R01529,D_Ribulose_5_phosphate <=> D_Xylulose_5_phosphate,R01529,TRUE,RPE,rpe,,,
TXT_R01641,D_Xylulose_5_phosphate + D_Ribose_5_phosphate <=> D_Glyceraldehyde_3_phosphate + Sedoheptulose_7_phosphate,R01641,TRUE,TKT1,tkt1,,,
