!!ObjTables objTablesVersion='0.0.8' schema='SBtab' document='MODEL1507180055' type='Data' class='Compartment',,,,,,,,,,
!ID,!Name,!Size,!Unit,!SBOTerm,,,,,,
c,cytosol,nan,,,,,,,,
e,extracellular,nan,,,,,,,,
g,Golgi,nan,,,,,,,,
m,Mitochondria,nan,,,,,,,,
l,l,nan,,,,,,,,
n,Nucleus,nan,,,,,,,,
p,periplasm,nan,,,,,,,,
r,Endoplasmic reticulum,nan,,,,,,,,
x,Glyoxysome,nan,,,,,,,,
,,,,,,,,,,
!!ObjTables objTablesVersion='0.0.8' schema='SBtab' document='MODEL1507180055' type='Data' class='Compound',,,,,,,,,,
!ID,!Name,!Location,!Charge,!IsConstant,!SBOTerm,!InitialConcentration,!hasOnlySubstanceUnits,!SBML:fbc:chemicalFormula,!SBML:fbc:charge,
M_10fthf_c,10fthf_c,c,0,FALSE,,nan,FALSE,,0,
M_10fthf5glu_c,10fthf5glu_c,c,0,FALSE,,nan,FALSE,,0,
M_10fthf6glu_c,10fthf6glu_c,c,0,FALSE,,nan,FALSE,,0,
M_10fthf7glu_c,10fthf7glu_c,c,0,FALSE,,nan,FALSE,,0,
M_11__cis__retfa_c,11__cis__retfa_c,c,0,FALSE,,nan,FALSE,,0,
M_11docrtsl_c,11docrtsl_c,c,0,FALSE,,nan,FALSE,,0,
M_11docrtstrn_c,11docrtstrn_c,c,0,FALSE,,nan,FALSE,,0,
M_12HPET_c,12HPET_c,c,0,FALSE,,nan,FALSE,,0,
M_12RHPET_c,12RHPET_c,c,0,FALSE,,nan,FALSE,,0,
M_12ppd__R_c,12ppd__R_c,c,0,FALSE,,nan,FALSE,,0,
M_12ppd__S_c,12ppd__S_c,c,0,FALSE,,nan,FALSE,,0,
M_13__cis__oretn_c,13__cis__oretn_c,c,0,FALSE,,nan,FALSE,,0,
M_13__cis__retn_c,13__cis__retn_c,c,0,FALSE,,nan,FALSE,,0,
M_13__cis__retnglc_c,13__cis__retnglc_c,c,0,FALSE,,nan,FALSE,,0,
M_13dampp_c,13dampp_c,c,0,FALSE,,nan,FALSE,,0,
M_13dpg_c,13dpg_c,c,0,FALSE,,nan,FALSE,,0,
M_15HPET_c,15HPET_c,c,0,FALSE,,nan,FALSE,,0,
M_17ahprgnlone_c,17ahprgnlone_c,c,0,FALSE,,nan,FALSE,,0,
M_17ahprgstrn_c,17ahprgstrn_c,c,0,FALSE,,nan,FALSE,,0,
M_1mncam_c,1mncam_c,c,0,FALSE,,nan,FALSE,,0,
M_1mpyr_c,1mpyr_c,c,0,FALSE,,nan,FALSE,,0,
M_1pyr5c_c,1pyr5c_c,c,0,FALSE,,nan,FALSE,,0,
M_23doguln_c,23doguln_c,c,0,FALSE,,nan,FALSE,,0,
